  0.8000000000000000D+03  0
  0.5500000000000000D+03  1
  0.4250000000000000D+03  2
  0.4875000000000000D+03  3
  0.5187500000000000D+03  4
  0.5031250000000000D+03  5
  0.4953125000000000D+03  6
  0.4992187500000000D+03  7
  0.5011718750000000D+03  8
  0.5001953125000000D+03  9
  0.4997070312500000D+03 10
  0.4999511718750000D+03 11
  0.5000732421875000D+03 12
  0.5000122070312500D+03 13
  0.4999816894531250D+03 14
  0.4999969482421875D+03 15
  0.5000045776367188D+03 16
  0.5000007629394531D+03 17
  0.4999988555908203D+03 18
  0.4999998092651367D+03 19
  0.5000002861022949D+03 20
  0.5000000476837158D+03 21
  0.4999999284744263D+03 22
  0.4999999880790710D+03 23
  0.5000000178813934D+03 24
  0.5000000029802322D+03 25
  0.4999999955296516D+03 26
  0.4999999992549419D+03 27
  0.5000000011175871D+03 28
  0.5000000001862645D+03 29
  0.4999999997206032D+03 30
  0.4999999999534339D+03 31
  0.5000000000698492D+03 32
  0.5000000000116415D+03 33
  0.4999999999825377D+03 34
  0.4999999999970896D+03 35
  0.5000000000043656D+03 36
  0.5000000000007276D+03 37
  0.4999999999989086D+03 38
  0.4999999999998181D+03 39
  0.5000000000002728D+03 40
  0.5000000000000455D+03 41
  0.4999999999999318D+03 42
  0.4999999999999886D+03 43
  0.5000000000000171D+03 44
  0.5000000000000028D+03 45
  0.4999999999999957D+03 46
  0.4999999999999993D+03 47
  0.5000000000000011D+03 48
  0.5000000000000002D+03 49
  0.4999999999999998D+03 50
  0.5000000000000000D+03 51
