 -0.3000000000000000D+01 -0.1000000000000000D+01  8
 -0.2993999958038330D+01 -0.1000000000000000D+01  8
 -0.2987999916076660D+01 -0.1000000000000000D+01  8
 -0.2982000112533569D+01 -0.1000000000000000D+01  8
 -0.2976000070571899D+01 -0.1000000000000000D+01  8
 -0.2970000028610229D+01 -0.1000000000000000D+01  8
 -0.2963999986648560D+01 -0.1000000000000000D+01  8
 -0.2957999944686890D+01 -0.1000000000000000D+01  8
 -0.2951999902725220D+01 -0.1000000000000000D+01  8
 -0.2946000099182129D+01 -0.1000000000000000D+01  8
 -0.2940000057220459D+01 -0.1000000000000000D+01  8
 -0.2934000015258789D+01 -0.1000000000000000D+01  8
 -0.2927999973297119D+01 -0.1000000000000000D+01  8
 -0.2921999931335449D+01 -0.1000000000000000D+01  8
 -0.2915999889373779D+01 -0.1000000000000000D+01  8
 -0.2910000085830688D+01 -0.1000000000000000D+01  8
 -0.2904000043869019D+01 -0.1000000000000000D+01  8
 -0.2898000001907349D+01 -0.1000000000000000D+01  8
 -0.2891999959945679D+01 -0.1000000000000000D+01  8
 -0.2885999917984009D+01 -0.1000000000000000D+01  8
 -0.2880000114440918D+01 -0.1000000000000000D+01  8
 -0.2874000072479248D+01 -0.1000000000000000D+01  8
 -0.2868000030517578D+01 -0.1000000000000000D+01  8
 -0.2861999988555908D+01 -0.1000000000000000D+01  8
 -0.2855999946594238D+01 -0.1000000000000000D+01  8
 -0.2849999904632568D+01 -0.1000000000000000D+01  8
 -0.2844000101089478D+01 -0.1000000000000000D+01  8
 -0.2838000059127808D+01 -0.1000000000000000D+01  8
 -0.2832000017166138D+01 -0.1000000000000000D+01  8
 -0.2825999975204468D+01 -0.1000000000000000D+01  8
 -0.2819999933242798D+01 -0.1000000000000000D+01  8
 -0.2813999891281128D+01 -0.1000000000000000D+01  8
 -0.2808000087738037D+01 -0.1000000000000000D+01  8
 -0.2802000045776367D+01 -0.1000000000000000D+01  8
 -0.2796000003814697D+01 -0.1000000000000000D+01  8
 -0.2789999961853027D+01 -0.1000000000000000D+01  8
 -0.2783999919891357D+01 -0.1000000000000000D+01  8
 -0.2778000116348267D+01 -0.1000000000000000D+01  8
 -0.2772000074386597D+01 -0.1000000000000000D+01  8
 -0.2766000032424927D+01 -0.1000000000000000D+01  8
 -0.2759999990463257D+01 -0.1000000000000000D+01  8
 -0.2753999948501587D+01 -0.1000000000000000D+01  8
 -0.2747999906539917D+01 -0.1000000000000000D+01  8
 -0.2742000102996826D+01 -0.1000000000000000D+01  8
 -0.2736000061035156D+01 -0.1000000000000000D+01  8
 -0.2730000019073486D+01 -0.1000000000000000D+01  8
 -0.2723999977111816D+01 -0.1000000000000000D+01  8
 -0.2717999935150146D+01 -0.1000000000000000D+01  8
 -0.2711999893188477D+01 -0.1000000000000000D+01  8
 -0.2706000089645386D+01 -0.1000000000000000D+01  8
 -0.2700000047683716D+01 -0.1000000000000000D+01  8
 -0.2694000005722046D+01 -0.1000000000000000D+01  8
 -0.2687999963760376D+01 -0.1000000000000000D+01  8
 -0.2681999921798706D+01 -0.1000000000000000D+01  8
