  0.5150000000000000D+03  0
  0.2650000000000000D+03  1
  0.3900000000000000D+03  2
  0.4525000000000000D+03  3
  0.4837500000000000D+03  4
  0.4993750000000000D+03  5
  0.5071875000000000D+03  6
  0.5032812500000000D+03  7
  0.5013281250000000D+03  8
  0.5003515625000000D+03  9
  0.4998632812500000D+03 10
  0.5001074218750000D+03 11
  0.4999853515625000D+03 12
  0.5000463867187500D+03 13
  0.5000158691406250D+03 14
  0.5000006103515625D+03 15
  0.4999929809570312D+03 16
  0.4999967956542969D+03 17
  0.4999987030029297D+03 18
  0.4999996566772461D+03 19
  0.5000001335144043D+03 20
  0.4999998950958252D+03 21
  0.5000000143051147D+03 22
  0.4999999547004700D+03 23
  0.4999999845027924D+03 24
  0.4999999994039536D+03 25
  0.5000000068545341D+03 26
  0.5000000031292439D+03 27
  0.5000000012665987D+03 28
  0.5000000003352761D+03 29
  0.4999999998696148D+03 30
  0.5000000001024455D+03 31
  0.4999999999860302D+03 32
  0.5000000000442378D+03 33
  0.5000000000151340D+03 34
  0.5000000000005821D+03 35
  0.4999999999933061D+03 36
  0.4999999999969441D+03 37
  0.4999999999987631D+03 38
  0.4999999999996726D+03 39
  0.5000000000001273D+03 40
  0.4999999999999000D+03 41
  0.5000000000000136D+03 42
  0.4999999999999568D+03 43
  0.4999999999999852D+03 44
  0.4999999999999994D+03 45
  0.5000000000000065D+03 46
  0.5000000000000030D+03 47
  0.5000000000000012D+03 48
  0.5000000000000003D+03 49
  0.4999999999999999D+03 50
  0.5000000000000001D+03 51
  0.5000000000000000D+03 52
