  0.1000000000000000D+04  0
  0.7500001250000626D+03  1
  0.5625002604168340D+03  2
  0.4218754175350959D+03  3
  0.3164068594481574D+03  4
  0.2373055396490586D+03  5
  0.1779796814885505D+03  6
  0.1334854634548599D+03  7
  0.1001150340489769D+03  8
  0.7508752416274720D+02  9
  0.5631730799365658D+02 10
  0.4224020091152501D+02 11
  0.3168311077938542D+02 12
  0.2376628037033711D+02 13
  0.1782997449022776D+02 14
  0.1337950257751818D+02 15
  0.1004399575066970D+02 16
  0.7545504048731001D+01 17
  0.5675840965888598D+01 18
  0.4279251094991370D+01 19
  0.3239469013426512D+01 20
  0.2470118786751918D+01 21
  0.1907711035045565D+01 22
  0.1506742635373761D+01 23
  0.1236448922934162D+01 24
  0.1077565330570688D+01 25
  0.1011904269465805D+01 26
  0.1000340499444914D+01 27
  0.1000000289514511D+01 28
  0.1000000000000210D+01 29
  0.1000000000000000D+01 30
